demo_case,prompt_id,tier,expected_min_model,selected_model_id,selection_reason,pre_route_lane,pre_route_reason,ood_score,uncertainty_score,ood_high,repetition_ratio,compressed_length_norm,cheap_cost,cheap_normalized_distance,cheap_pass_probability,cheap_sufficiency_probability,mid_cost,mid_normalized_distance,mid_pass_probability,mid_sufficiency_probability,premium_cost,premium_normalized_distance,premium_pass_probability,premium_sufficiency_probability,abstain_probability,frontier_model,frontier_cost,frontier_quality
trivial cheap,r031,fast,cheap,cheap,simple_prompt_prior,cheap_direct,obvious_low_risk_prompt,0.024324,0.412773,0.0,0.0,0.014,0.01,1.112266,0.353896,0.363294,0.05,2.295472,0.678504,0.606858,0.2,7.124298,0.823092,0.80169,0.19831,cheap,0.01,0.6272401433691757
trivial cheap,r031,balanced,cheap,cheap,simple_prompt_prior,cheap_direct,obvious_low_risk_prompt,0.024324,0.412773,0.0,0.0,0.014,0.01,1.112266,0.353896,0.363294,0.05,1.377283,0.678504,0.606858,0.2,3.05327,0.823092,0.80169,0.19831,mid,0.05,0.892831541218638
trivial cheap,r031,premium,cheap,cheap,simple_prompt_prior,cheap_direct,obvious_low_risk_prompt,0.0,0.299394,0.0,0.0,0.014,0.01,1.174059,0.353896,0.363294,0.05,0.983774,0.678504,0.606858,0.2,1.526635,0.823092,0.80169,0.19831,mid,0.05,0.892831541218638
simple numeric,r005,fast,cheap,cheap,exact_answer_prior,cheap_direct,obvious_low_risk_prompt,0.116905,0.471637,0.0,0.0,0.01,0.01,1.539563,0.360743,0.372078,0.05,3.627355,0.686289,0.621502,0.2,15.988247,0.808177,0.804574,0.195426,cheap,0.01,0.6272401433691757
simple numeric,r005,balanced,cheap,cheap,exact_answer_prior,cheap_direct,obvious_low_risk_prompt,0.116905,0.471637,0.0,0.0,0.01,0.01,1.539563,0.360743,0.372078,0.05,2.176413,0.686289,0.621502,0.2,6.852106,0.808177,0.804574,0.195426,mid,0.05,0.892831541218638
simple numeric,r005,premium,cheap,cheap,exact_answer_prior,cheap_direct,obvious_low_risk_prompt,0.120159,0.473427,0.0,0.0,0.01,0.01,1.625094,0.360743,0.372078,0.05,1.554581,0.686289,0.621502,0.2,3.426053,0.808177,0.804574,0.195426,mid,0.05,0.892831541218638
medium code,e101,fast,mid,cheap,nearest_budget_fallback,hard_task,hard_or_high_risk_signal,0.088204,0.435156,0.0,0.0,0.18,0.01,1.407096,0.31459,0.309933,0.05,2.440621,0.637468,0.554197,0.2,7.252764,0.818485,0.798819,0.201181,cheap,0.01,0.6272401433691757
medium code,e101,balanced,mid,mid,nearest_budget_fallback,hard_task,hard_or_high_risk_signal,0.088204,0.435156,0.0,0.0,0.18,0.01,1.407096,0.31459,0.309933,0.05,1.464373,0.637468,0.554197,0.2,3.108327,0.818485,0.798819,0.201181,mid,0.05,0.892831541218638
medium code,e101,premium,mid,premium,nearest_budget_fallback,hard_task,hard_or_high_risk_signal,0.009963,0.392123,0.0,0.0,0.18,0.01,1.485269,0.31459,0.309933,0.05,1.045981,0.637468,0.554197,0.2,1.554164,0.818485,0.798819,0.201181,mid,0.05,0.892831541218638
hard architecture,r162,fast,premium,cheap,nearest_budget_fallback,hard_task,hard_or_high_risk_signal,0.092988,0.4259,0.0,0.0,0.042,0.01,1.429177,0.247022,0.230611,0.05,1.961282,0.596574,0.49088,0.2,5.498919,0.811557,0.750416,0.249584,cheap,0.01,0.6272401433691757
hard architecture,r162,balanced,premium,mid,nearest_budget_fallback,hard_task,hard_or_high_risk_signal,0.0383,0.395821,0.0,0.0,0.042,0.01,1.429177,0.247022,0.230611,0.05,1.176769,0.596574,0.49088,0.2,2.35668,0.811557,0.750416,0.249584,mid,0.05,0.892831541218638
hard architecture,r162,premium,premium,premium,nearest_budget_fallback,hard_task,hard_or_high_risk_signal,0.0,0.274756,0.0,0.0,0.042,0.01,1.508575,0.247022,0.230611,0.05,0.840549,0.596574,0.49088,0.2,1.17834,0.811557,0.750416,0.249584,mid,0.05,0.892831541218638
missing context abstain,r015,fast,abstain,abstain,missing_context_prior,missing_context,missing_required_context,0.406309,0.604639,0.0,0.0,0.018,0.01,2.875272,0.239522,0.221688,0.05,2.90064,0.589807,0.467246,0.2,7.941534,0.786466,0.673244,0.85,cheap,0.01,0.6272401433691757
missing context abstain,r015,balanced,abstain,abstain,missing_context_prior,missing_context,missing_required_context,0.160417,0.469398,0.0,0.0,0.018,0.01,2.875272,0.239522,0.221688,0.05,1.740384,0.589807,0.467246,0.2,3.403514,0.786466,0.673244,0.85,mid,0.05,0.892831541218638
missing context abstain,r015,premium,abstain,abstain,missing_context_prior,missing_context,missing_required_context,0.052678,0.410142,0.0,0.0,0.018,0.01,3.035009,0.239522,0.221688,0.05,1.243131,0.589807,0.467246,0.2,1.701757,0.786466,0.673244,0.85,mid,0.05,0.892831541218638
tier-dependent selection,e004,fast,cheap,cheap,nearest_budget_fallback,ambiguous,requires_budgeted_model_choice,2e-06,0.391994,0.0,0.0,0.054,0.01,1.000007,0.340412,0.343564,0.05,2.282098,0.655264,0.584868,0.2,7.741056,0.820999,0.81495,0.18505,cheap,0.01,0.6272401433691757
tier-dependent selection,e004,balanced,cheap,mid,nearest_budget_fallback,ambiguous,requires_budgeted_model_choice,2e-06,0.391994,0.0,0.0,0.054,0.01,1.000007,0.340412,0.343564,0.05,1.369259,0.655264,0.584868,0.2,3.317595,0.820999,0.81495,0.18505,mid,0.05,0.892831541218638
tier-dependent selection,e004,premium,cheap,mid,cheapest_sufficient_envelope,ambiguous,requires_budgeted_model_choice,0.0,0.291993,0.0,0.0,0.054,0.01,1.055563,0.340412,0.343564,0.05,0.978042,0.655264,0.584868,0.2,1.658798,0.820999,0.81495,0.18505,mid,0.05,0.892831541218638
