prompt_id,budget_tier,selected_model_id,selection_reason,latency_ms_mean,latency_ms_min,latency_ms_max,repeat
e001,fast,cheap,cheapest_feasible_envelope,5.364433318997423,5.028899991884828,5.606099963188171,3
e001,balanced,cheap,cheapest_feasible_envelope,5.6668666657060385,5.251100054010749,6.166699924506247,3
e001,premium,cheap,cheapest_feasible_envelope,6.491533325364192,5.390800070017576,8.669700007885695,3
e002,fast,cheap,simple_prompt_prior,5.303300024631123,5.205900059081614,5.415899911895394,3
e002,balanced,cheap,simple_prompt_prior,6.054066664849718,5.2266999846324325,7.263400009833276,3
e002,premium,cheap,simple_prompt_prior,5.375699993843834,5.3088999120518565,5.436300067231059,3
e003,fast,cheap,simple_prompt_prior,5.465033347718418,5.386800039559603,5.563599988818169,3
e003,balanced,cheap,simple_prompt_prior,5.441399989649653,5.17390004824847,5.7039998937398195,3
e003,premium,cheap,simple_prompt_prior,5.353666686763366,5.328600062057376,5.387000041082501,3
e004,fast,cheap,cheapest_feasible_envelope,5.644766691451271,5.318499985150993,5.981600028462708,3
e004,balanced,mid,nearest_budget_fallback,5.6388000181565685,5.463199922814965,5.777500104159117,3
e004,premium,cheap,cheapest_feasible_envelope,5.326400006500383,5.204600049182773,5.45830000191927,3
e005,fast,cheap,simple_prompt_prior,5.359200023425122,5.19900000654161,5.641499999910593,3
e005,balanced,cheap,simple_prompt_prior,5.52243331912905,5.2983000641688704,5.677599925547838,3
e005,premium,cheap,simple_prompt_prior,5.296300010134776,5.202700034715235,5.441799992695451,3
e006,fast,cheap,cheapest_feasible_envelope,5.539533332921565,5.501899984665215,5.587099934928119,3
e006,balanced,mid,nearest_budget_fallback,5.582833313383162,5.368800018914044,5.739999935030937,3
e006,premium,cheap,cheapest_feasible_envelope,5.470466683618724,5.412600003182888,5.550300003960729,3
e101,fast,mid,nearest_budget_fallback,6.993100008306404,6.844499963335693,7.082000025548041,3
e101,balanced,mid,nearest_budget_fallback,6.9769000401720405,6.804900011047721,7.249400019645691,3
e101,premium,mid,cheapest_feasible_envelope,6.7035333486273885,6.649599992670119,6.795200053602457,3
e102,fast,mid,nearest_budget_fallback,8.104299971212944,8.038599975407124,8.18869995418936,3
e102,balanced,premium,nearest_envelope_fallback,7.941833309208353,7.783900015056133,8.048799936659634,3
e102,premium,mid,cheapest_feasible_envelope,8.172866655513644,7.846300024539232,8.405999979004264,3
e103,fast,mid,nearest_budget_fallback,6.042199985434611,5.949099897406995,6.204200093634427,3
e103,balanced,mid,nearest_budget_fallback,6.17826667924722,6.0501000843942165,6.257600034587085,3
e103,premium,mid,cheapest_feasible_envelope,6.072600022889674,5.965800024569035,6.130099995061755,3
e201,fast,premium,nearest_envelope_fallback,9.345766738988459,9.140900103375316,9.677100111730397,3
e201,balanced,premium,nearest_envelope_fallback,9.268566655615965,9.152699960395694,9.448600001633167,3
e201,premium,premium,cheapest_feasible_envelope,9.107633338620266,8.897299994714558,9.438900044187903,3
e202,fast,premium,nearest_envelope_fallback,8.994566625915468,8.835699991323054,9.104999946430326,3
e202,balanced,premium,nearest_envelope_fallback,8.946033349881569,8.746800012886524,9.05560003593564,3
e202,premium,premium,cheapest_feasible_envelope,8.830433323358497,8.782400051131845,8.87629995122552,3
e203,fast,mid,nearest_envelope_fallback,10.129066688629488,9.932700078934431,10.480599943548441,3
e203,balanced,premium,nearest_envelope_fallback,10.269033334528407,10.143599938601255,10.354200028814375,3
e203,premium,premium,nearest_envelope_fallback,10.432300002624592,9.961500065401196,11.076099937781692,3
e301,fast,abstain,abstain_probability,4.918733340067168,4.814399988390505,5.103299976326525,3
e301,balanced,abstain,abstain_probability,5.163666636993487,5.112399929203093,5.195399979129434,3
e301,premium,abstain,abstain_probability,4.996266642895837,4.8538000555709,5.174299934878945,3
e302,fast,abstain,abstain_probability,4.725333342018227,4.520699963904917,4.891599994152784,3
e302,balanced,abstain,abstain_probability,4.593400051817298,4.540199995972216,4.654400050640106,3
e302,premium,abstain,abstain_probability,5.051299968423943,4.801000002771616,5.178599967621267,3
e401,fast,cheap,simple_prompt_prior,5.094966657149295,4.8454999923706055,5.254699965007603,3
e401,balanced,cheap,simple_prompt_prior,5.065633333288133,4.709200002253056,5.663399933837354,3
e401,premium,cheap,simple_prompt_prior,4.689333339532216,4.624099936336279,4.814899992197752,3
e402,fast,abstain,abstain_probability,5.775766680017114,4.988800035789609,6.696199998259544,3
e402,balanced,abstain,abstain_probability,5.385300028137863,5.168600007891655,5.774599965661764,3
e402,premium,abstain,abstain_probability,5.336400005035102,5.148599972017109,5.535400006920099,3
e403,fast,cheap,cheapest_feasible_envelope,5.986966697188715,5.898699979297817,6.0897000366821885,3
e403,balanced,cheap,cheapest_feasible_envelope,5.9643000131472945,5.778499995358288,6.1150999972596765,3
e403,premium,cheap,cheapest_feasible_envelope,5.959933313230674,5.833399947732687,6.173300091177225,3
