ood_bin,count,mean_ood_score,mean_uncertainty_score,cheap_success_rate,cheap_direct_rate,premium_selected_rate,under_route_rate
0.0-0.1,239,0.019436874476987446,0.40149896652719663,0.4769874476987448,0.12133891213389121,0.0,0.20920502092050208
0.1-0.2,9,0.133028,0.5130718888888889,0.3333333333333333,0.3333333333333333,0.0,0.1111111111111111
0.2-0.3,5,0.2383452,0.5685338,0.4,0.0,0.0,0.6
0.3-0.4,16,0.346933125,0.626765125,0.0,0.0,0.0,0.4375
0.4-0.5,0,0.0,0.0,0.0,0.0,0.0,0.0
0.5-0.6,1,0.594354,0.767358,0.0,0.0,0.0,1.0
0.6-0.7,0,0.0,0.0,0.0,0.0,0.0,0.0
0.7-0.8,0,0.0,0.0,0.0,0.0,0.0,0.0
0.8-0.9,0,0.0,0.0,0.0,0.0,0.0,0.0
0.9-1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
