router,tier,count,mean_quality,mean_cost,mean_excess_cost,cost_over_limit,under_route,over_route,should_abstain,ok,latency_ms_mean,selection_counts
always_cheap,fast,73,0.5649315068493151,0.01,0.0,0,36,0,10,27,0.0,"{""cheap"": 73}"
always_cheap,balanced,73,0.5649315068493151,0.01,0.0,0,36,0,10,27,0.0,"{""cheap"": 73}"
always_cheap,premium,73,0.5649315068493151,0.01,0.0,0,36,0,10,27,0.0,"{""cheap"": 73}"
always_mid,fast,73,0.8045205479452056,0.049999999999999996,0.020000000000000004,73,20,27,10,16,0.0,"{""mid"": 73}"
always_mid,balanced,73,0.8045205479452056,0.049999999999999996,0.0,0,20,27,10,16,0.0,"{""mid"": 73}"
always_mid,premium,73,0.8045205479452056,0.049999999999999996,0.0,0,20,27,10,16,0.0,"{""mid"": 73}"
always_premium,fast,73,0.8080821917808219,0.19999999999999998,0.16999999999999998,73,0,43,10,20,0.0,"{""premium"": 73}"
always_premium,balanced,73,0.8080821917808219,0.19999999999999998,0.12,73,0,43,10,20,0.0,"{""premium"": 73}"
always_premium,premium,73,0.8080821917808219,0.19999999999999998,0.0,0,0,43,10,20,0.0,"{""premium"": 73}"
geometric_tuned,fast,73,0.9056164383561642,0.0426027397260274,0.024246575342465753,36,14,1,0,58,8.032208224056824,"{""mid"": 29, ""cheap"": 26, ""abstain"": 11, ""premium"": 7}"
geometric_tuned,balanced,73,0.9516438356164384,0.09602739726027397,0.05424657534246576,33,1,13,0,59,7.831510974489765,"{""premium"": 33, ""cheap"": 26, ""abstain"": 11, ""mid"": 3}"
geometric_tuned,premium,73,0.952054794520548,0.09602739726027397,0.0,0,1,13,0,59,8.004120536697135,"{""premium"": 33, ""cheap"": 26, ""abstain"": 11, ""mid"": 3}"
geometric_external_weak,fast,73,0.9199999999999999,0.04931506849315069,0.030684931506849318,37,11,2,0,60,26.49980822055001,"{""mid"": 27, ""cheap"": 25, ""abstain"": 11, ""premium"": 10}"
geometric_external_weak,balanced,73,0.9434246575342466,0.07657534246575344,0.03780821917808219,23,2,6,0,65,26.61372739694094,"{""cheap"": 24, ""premium"": 23, ""mid"": 15, ""abstain"": 11}"
geometric_external_weak,premium,73,0.9342465753424656,0.093013698630137,0.0,0,2,12,0,59,26.294853431427825,"{""premium"": 31, ""cheap"": 24, ""abstain"": 11, ""mid"": 7}"
