router,prompt_id,budget_tier,expected_min_model,selected_model_id,actual_quality,cost,error_type,selection_reason,latency_ms
always_cheap,p001,fast,cheap,cheap,0.88,0.01,ok,fixed_policy,0.0
always_cheap,p001,balanced,cheap,cheap,0.88,0.01,ok,fixed_policy,0.0
always_cheap,p001,premium,cheap,cheap,0.88,0.01,ok,fixed_policy,0.0
always_cheap,p002,fast,mid,cheap,0.62,0.01,under_route,fixed_policy,0.0
always_cheap,p002,balanced,mid,cheap,0.62,0.01,under_route,fixed_policy,0.0
always_cheap,p002,premium,mid,cheap,0.62,0.01,under_route,fixed_policy,0.0
always_cheap,p003,fast,cheap,cheap,0.91,0.01,ok,fixed_policy,0.0
always_cheap,p003,balanced,cheap,cheap,0.91,0.01,ok,fixed_policy,0.0
always_cheap,p003,premium,cheap,cheap,0.91,0.01,ok,fixed_policy,0.0
always_cheap,p004,fast,mid,cheap,0.58,0.01,under_route,fixed_policy,0.0
always_cheap,p004,balanced,mid,cheap,0.58,0.01,under_route,fixed_policy,0.0
always_cheap,p004,premium,mid,cheap,0.58,0.01,under_route,fixed_policy,0.0
always_cheap,p005,fast,cheap,cheap,0.9,0.01,ok,fixed_policy,0.0
always_cheap,p005,balanced,cheap,cheap,0.9,0.01,ok,fixed_policy,0.0
always_cheap,p005,premium,cheap,cheap,0.9,0.01,ok,fixed_policy,0.0
always_cheap,p006,fast,premium,cheap,0.55,0.01,under_route,fixed_policy,0.0
always_cheap,p006,balanced,premium,cheap,0.55,0.01,under_route,fixed_policy,0.0
always_cheap,p006,premium,premium,cheap,0.55,0.01,under_route,fixed_policy,0.0
always_cheap,p007,fast,cheap,cheap,0.88,0.01,ok,fixed_policy,0.0
always_cheap,p007,balanced,cheap,cheap,0.88,0.01,ok,fixed_policy,0.0
always_cheap,p007,premium,cheap,cheap,0.88,0.01,ok,fixed_policy,0.0
always_cheap,p008,fast,premium,cheap,0.35,0.01,under_route,fixed_policy,0.0
always_cheap,p008,balanced,premium,cheap,0.35,0.01,under_route,fixed_policy,0.0
always_cheap,p008,premium,premium,cheap,0.35,0.01,under_route,fixed_policy,0.0
always_cheap,p009,fast,mid,cheap,0.62,0.01,under_route,fixed_policy,0.0
always_cheap,p009,balanced,mid,cheap,0.62,0.01,under_route,fixed_policy,0.0
