model_id,bin,count,mean_predicted_probability,actual_success_rate,brier_score,calibration_gap
cheap,0.0-0.1,0,0.0,0.0,0.0,0.0
cheap,0.1-0.2,6,0.1866495,0.0,0.03489782085016666,0.1866495
cheap,0.2-0.3,119,0.25444578151260505,0.19327731092436976,0.15903848697616807,0.061168470588235296
cheap,0.3-0.4,145,0.33354736551724135,0.6620689655172414,0.32319760531540687,0.3285216
cheap,0.4-0.5,0,0.0,0.0,0.0,0.0
cheap,0.5-0.6,0,0.0,0.0,0.0,0.0
cheap,0.6-0.7,0,0.0,0.0,0.0,0.0
cheap,0.7-0.8,0,0.0,0.0,0.0,0.0
cheap,0.8-0.9,0,0.0,0.0,0.0,0.0
cheap,0.9-1.0,0,0.0,0.0,0.0,0.0
mid,0.0-0.1,0,0.0,0.0,0.0,0.0
mid,0.1-0.2,0,0.0,0.0,0.0,0.0
mid,0.2-0.3,0,0.0,0.0,0.0,0.0
mid,0.3-0.4,4,0.3796985,0.0,0.144207030417,0.3796985
mid,0.4-0.5,53,0.47710920754716984,0.5849056603773585,0.2471233259390943,0.10779645283018863
mid,0.5-0.6,202,0.5701108712871287,0.9702970297029703,0.1868881212420099,0.4001861584158416
mid,0.6-0.7,11,0.6061683636363636,1.0,0.1551342712690909,0.3938316363636364
mid,0.7-0.8,0,0.0,0.0,0.0,0.0
mid,0.8-0.9,0,0.0,0.0,0.0,0.0
mid,0.9-1.0,0,0.0,0.0,0.0,0.0
premium,0.0-0.1,0,0.0,0.0,0.0,0.0
premium,0.1-0.2,0,0.0,0.0,0.0,0.0
premium,0.2-0.3,0,0.0,0.0,0.0,0.0
premium,0.3-0.4,0,0.0,0.0,0.0,0.0
premium,0.4-0.5,0,0.0,0.0,0.0,0.0
premium,0.5-0.6,0,0.0,0.0,0.0,0.0
premium,0.6-0.7,7,0.6890058571428571,1.0,0.09681956416357142,0.3109941428571429
premium,0.7-0.8,233,0.7639798626609442,0.9871244635193133,0.06323163845387983,0.22314460085836907
premium,0.8-0.9,30,0.8100531,0.43333333333333335,0.39118116744936665,0.3767197666666666
premium,0.9-1.0,0,0.0,0.0,0.0,0.0
